"sequence","species_id","species_name","pdb","prophage","modeller","uniprot","Identity","Coverage1","Coverage2","rank","kegg_hit","EC.x","uniref_hit","uniref_identity","uniref_bitScore","uniref_eVal","cazy_hits","kofam","refseq","swissprot","evalue","score","COG_category","Description","EC.y"
"SpeciesTaxid_1680.NC_008618.1_1590","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1590.pdb.gz","NO","NO","A0A0B5BN51","100","99.6","100","B","membrane-associated protein",NA,"UniRef90_A0A0G9M8N6 DedA family protein n=60 Tax=Bacteria TaxID=2 RepID=A0A0G9M8N6_BIFAD",0.952,468,3.35e-147,"0","membrane-associated protein",NA,NA,7.45e-165,461,"S","SNARE associated Golgi protein","-"
"SpeciesTaxid_1680.NC_008618.1_1591","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1591.pdb.gz","NO","NO","A0A0B5BQC3","99.6","99.6","100","B","",NA,"UniRef90_A0A174B6W4 Haloacid dehalogenase n=31 Tax=Bifidobacterium TaxID=1678 RepID=A0A174B6W4_BIFAD",0.969,492,2.83e-155,"0","(DL)-glycerol-3-phosphatase [EC:3.1.3.21]",NA,NA,5.25e-173,482,"S","HAD hydrolase, family IA, variant 3","-"
"SpeciesTaxid_1680.NC_008618.1_1592","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1592.pdb.gz","NO","NO","A0A1X2ZSC7","100","98.9","100","C","",NA,"UniRef90_A0A0C2Z6H1 Transposase n=6 Tax=Bifidobacterium TaxID=1678 RepID=A0A0C2Z6H1_BIFAD",0.934,179,1.49e-49,"0",NA,"hypothetical protein",NA,4.62e-56,174,"-","-","-"
"SpeciesTaxid_1680.NC_008618.1_1593","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1593.pdb.gz","NO","NO","A0A076JJS6","100","99.5","100","B","MerR family transcriptional regulator, heat shock protein HspR",NA,"UniRef90_A0A076JJS6 MerR family DNA-binding transcriptional regulator n=11 Tax=Bifidobacterium TaxID=1678 RepID=A0A076JJS6_BIFAD",0.89,376,6.34e-116,"0",NA,"multispecies: merr family transcriptional regulator",NA,6.51e-121,347,"K","transcriptional regulator, MerR family","-"
"SpeciesTaxid_1680.NC_008618.1_1594","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1594.pdb.gz","NO","NO","A1A3P3","100","99.7","100","B","",NA,"UniRef90_A0A1X3A1Y5 Molecular chaperone DnaJ n=53 Tax=Bifidobacterium TaxID=1678 RepID=A0A1X3A1Y5_BIFAD",0.881,627,6.68e-200,"0","DnaJ homolog subfamily B member 8",NA,NA,4.05e-223,617,"O","DnaJ molecular chaperone homology domain","-"
"SpeciesTaxid_1680.NC_008618.1_1595","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1595.pdb.gz","NO","NO","A1A3P4","100","99.6","100","B","molecular chaperone GrpE",NA,"UniRef90_A1A3P4 Protein GrpE n=27 Tax=Bifidobacterium TaxID=1678 RepID=GRPE_BIFAA",0.885,411,1.97e-127,"0","molecular chaperone GrpE",NA,NA,1.16e-102,303,"O","Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ","-"
"SpeciesTaxid_1680.NC_008618.1_1596","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1596.pdb.gz","NO","NO","A1A3P5","100","99.8","100","B","molecular chaperone DnaK",NA,"UniRef90_B7GT47 Chaperone protein DnaK n=499 Tax=Bacteria TaxID=2 RepID=DNAK_BIFLS",0.869,1139,0,"0","molecular chaperone DnaK",NA,NA,0,1140,"O","Heat shock 70 kDa protein","-"
"SpeciesTaxid_1680.NC_008618.1_1597","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1597.pdb.gz","NO","NO","A1A3P6","100","99.9","100","B","alkaline phosphatase ","3.1.3.1","UniRef90_A0A076JII7 Alkaline phosphatase n=69 Tax=root TaxID=1 RepID=A0A076JII7_BIFAD",0.91,1329,0,"0",NA,"alkaline phosphatase","alkaline phosphatase [3.1.3.1]",0,1290,"P","Alkaline phosphatase homologues","3.1.3.1,3.1.3.39"
"SpeciesTaxid_1680.NC_008618.1_1598","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1598.pdb.gz","NO","NO","A1A3P7","100","99.7","100","B","uncharacterized protein",NA,"UniRef90_A1A3P7 Probable membrane transporter protein n=13 Tax=Bifidobacterium TaxID=1678 RepID=A1A3P7_BIFAA",0.889,542,1.33e-171,"0",NA,"sulfite exporter taue/safe family protein",NA,9.51e-186,519,"S","membrane transporter protein","-"
"SpeciesTaxid_1680.NC_008618.1_1599","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1599.pdb.gz","NO","NO","A0A174DAW0","98.8","99.7","100","B","sortase A ","3.4.22.70","UniRef90_A0A087CY54 Sortase family protein n=39 Tax=Bifidobacterium TaxID=1678 RepID=A0A087CY54_BIFRU",0.885,610,2.67e-194,"0",NA,"class c sortase",NA,2.43e-217,602,"M","Sortase family","3.4.22.70"
"SpeciesTaxid_1680.NC_008618.1_1600","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1600.pdb.gz","NO","NO","A1A3Q0","100","99.7","96.6","B","",NA,"UniRef90_A7A9C3 CNA-B domain-containing protein n=79 Tax=Bifidobacterium TaxID=1678 RepID=A7A9C3_BIFAD",0.902,651,2.64e-208,"0",NA,"cna b-type domain-containing protein",NA,1.09e-229,634,"M","Cna protein B-type domain","-"
"SpeciesTaxid_1680.NC_008618.1_1601","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1601.pdb.gz","NO","NO","/","/","/","/","C","",NA,"UniRef90_A0A1X2Z8M3 FimB fimbrial subunit n=2 Tax=Bifidobacterium adolescentis TaxID=1680 RepID=A0A1X2Z8M3_BIFAD",0.872,95,3.06e-21,"0",NA,"hypothetical protein",NA,6.46e-06,48.5,"M","cell wall anchor domain protein","-"
"SpeciesTaxid_1680.NC_008618.1_1602","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1602.pdb.gz","NO","NO","A0A1X2Z8R3","98.8","98.8","100","C","",NA,"UniRef90_A0A1X2Z8R3 Toxin-antitoxin system, antitoxin component, PHD family n=2 Tax=Bifidobacterium adolescentis TaxID=1680 RepID=A0A1X2Z8R3_BIFAD",0.928,166,3.79e-45,"0",NA,"type ii toxin-antitoxin system prevent-host-death family antitoxin",NA,6.2e-06,47.8,"S","Antitoxin Phd_YefM, type II toxin-antitoxin system","-"
"SpeciesTaxid_1680.NC_008618.1_1603","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1603.pdb.gz","NO","NO","A1A3Q4","100","99.7","100","B","",NA,"UniRef90_A0A076JJR4 LacI-type transcriptional regulator n=51 Tax=Bifidobacterium TaxID=1678 RepID=A0A076JJR4_BIFAD",0.925,659,5.77e-211,"0","LacI family transcriptional regulator, purine nucleotide synthesis repressor",NA,NA,9.42e-234,644,"K","Psort location Cytoplasmic, score","-"
"SpeciesTaxid_1680.NC_008618.1_1604","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1604.pdb.gz","NO","NO","A0A3D1TRK4","100","91.8","92.2","B","",NA,"UniRef90_A0A0C2Z414 ABC transporter permease n=18 Tax=Bifidobacterium TaxID=1678 RepID=A0A0C2Z414_BIFAD",0.942,531,2.15e-168,"0",NA,"multispecies: trax family protein",NA,2.6e-155,440,"S","TraX protein","-"
"SpeciesTaxid_1680.NC_008618.1_1605","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1605.pdb.gz","NO","NO","A1A3Q6","100","99.6","100","B","",NA,"UniRef90_A1A3Q6 Haloacid dehalogenase-like hydrolase n=4 Tax=Bifidobacterium adolescentis TaxID=1680 RepID=A1A3Q6_BIFAA",0.956,525,3.14e-166,"0","putative hydrolase of the HAD superfamily",NA,NA,3.78e-161,454,"S","HAD-hyrolase-like","-"
"SpeciesTaxid_1680.NC_008618.1_1606","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1606.pdb.gz","NO","NO","A1A3Q7","100","94.5","100","B","pullulanase ","3.2.1.41","UniRef90_A1A3Q7 Pullulanase n=2 Tax=Bifidobacterium adolescentis TaxID=1680 RepID=A1A3Q7_BIFAA",1,1206,0,"GH13 alpha-amylase (EC 3.2.1.1); pullulanase (EC 3.2.1.41); cyclomaltodextrin glucanotransferase (EC 2.4.1.19); cyclomaltodextrinase (EC 3.2.1.54); trehalose-6-phosphate hydrolase (EC 3.2.1.93); oligo-alpha-glucosidase (EC 3.2.1.10); maltogenic amylase (EC 3.2.1.133); neopullulanase (EC 3.2.1.135); alpha-glucosidase (EC 3.2.1.20); maltotetraose-forming alpha-amylase (EC 3.2.1.60); isoamylase (EC 3.2.1.68); glucodextranase (EC 3.2.1.70); maltohexaose-forming alpha-amylase (EC 3.2.1.98); maltotriose-forming alpha-amylase (EC 3.2.1.116); branching enzyme (EC 2.4.1.18); trehalose synthase (EC 5.4.99.16); 4-alpha-glucanotransferase (EC 2.4.1.25); maltopentaose-forming alpha-amylase (EC 3.2.1.-) ; amylosucrase (EC 2.4.1.4) ; sucrose phosphorylase (EC 2.4.1.7); malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141); isomaltulose synthase (EC 5.4.99.11); malto-oligosyltrehalose synthase (EC 5.4.99.15); amylo-alpha-1,6-glucosidase (EC 3.2.1.33); alpha-1,4-glucan: phosphate alpha-maltosyltransferase (EC 2.4.99.16); amino acid transporter; [retaining] sucrose 6(F)-phosphate phosphorylase (EC 2.4.1.329); [retaining] glucosylglycerol phosphorylase (EC 2.4.1.359); ; Glucosylglycerate phosphorylase (EC 2.4.1.352); [retaining] sucrose alpha-glucosidase (EC 3.2.1.48); oligosaccharide alpha-4-glucosyltransferase (EC 2.4.1.161); [retaining] alpha-amylase (EC 3.2.1.1)","pullulanase [EC:3.2.1.41]",NA,NA,0,1061,"G","Belongs to the glycosyl hydrolase 13 family","3.2.1.41,3.2.1.68"
"SpeciesTaxid_1680.NC_008618.1_1607","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1607.pdb.gz","NO","NO","A1A3Q8","100","99.9","100","B","4-alpha-glucanotransferase ","2.4.1.25","UniRef90_A1A3Q8 4-alpha-glucanotransferase n=48 Tax=Bifidobacterium TaxID=1678 RepID=A1A3Q8_BIFAA",0.971,1477,0,"GH77 amylomaltase or 4-alpha-glucanotransferase (EC 2.4.1.25)","4-alpha-glucanotransferase [EC:2.4.1.25]",NA,NA,0,1448,"G","4-alpha-glucanotransferase","2.4.1.25"
"SpeciesTaxid_1680.NC_008618.1_1608","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1608.pdb.gz","NO","NO","A0A1X2YSN5","100","99.8","99","B","alpha-glucosidase ","3.2.1.20","UniRef90_A0A174B107 Alpha-1,4-glucosidase n=24 Tax=Bifidobacterium TaxID=1678 RepID=A0A174B107_BIFAD",1,1234,0,"GH13 alpha-amylase (EC 3.2.1.1); pullulanase (EC 3.2.1.41); cyclomaltodextrin glucanotransferase (EC 2.4.1.19); cyclomaltodextrinase (EC 3.2.1.54); trehalose-6-phosphate hydrolase (EC 3.2.1.93); oligo-alpha-glucosidase (EC 3.2.1.10); maltogenic amylase (EC 3.2.1.133); neopullulanase (EC 3.2.1.135); alpha-glucosidase (EC 3.2.1.20); maltotetraose-forming alpha-amylase (EC 3.2.1.60); isoamylase (EC 3.2.1.68); glucodextranase (EC 3.2.1.70); maltohexaose-forming alpha-amylase (EC 3.2.1.98); maltotriose-forming alpha-amylase (EC 3.2.1.116); branching enzyme (EC 2.4.1.18); trehalose synthase (EC 5.4.99.16); 4-alpha-glucanotransferase (EC 2.4.1.25); maltopentaose-forming alpha-amylase (EC 3.2.1.-) ; amylosucrase (EC 2.4.1.4) ; sucrose phosphorylase (EC 2.4.1.7); malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141); isomaltulose synthase (EC 5.4.99.11); malto-oligosyltrehalose synthase (EC 5.4.99.15); amylo-alpha-1,6-glucosidase (EC 3.2.1.33); alpha-1,4-glucan: phosphate alpha-maltosyltransferase (EC 2.4.99.16); amino acid transporter; [retaining] sucrose 6(F)-phosphate phosphorylase (EC 2.4.1.329); [retaining] glucosylglycerol phosphorylase (EC 2.4.1.359); ; Glucosylglycerate phosphorylase (EC 2.4.1.352); [retaining] sucrose alpha-glucosidase (EC 3.2.1.48); oligosaccharide alpha-4-glucosyltransferase (EC 2.4.1.161); [retaining] alpha-amylase (EC 3.2.1.1)","maltogenic alpha-amylase [EC:3.2.1.133]",NA,NA,0,1213,"G","Alpha-amylase domain","3.2.1.20"
"SpeciesTaxid_1680.NC_008618.1_1609","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1609.pdb.gz","NO","NO","A1A3R0","100","99.5","100","B","membrane protein",NA,"UniRef90_A0A076JJQ2 Beta-carotene 15,15-monooxygenase n=24 Tax=Bifidobacterium TaxID=1678 RepID=A0A076JJQ2_BIFAD",0.927,390,9.26e-121,"0",NA,"yesl family protein",NA,1.3e-135,384,"S","Protein of unknown function, DUF624","-"
"SpeciesTaxid_1680.NC_008618.1_1610","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1610.pdb.gz","NO","NO","A1A3R1","100","99.6","100","B","maltose transport system permease protein",NA,"UniRef90_A0A0A7I8Y5 ABC transmembrane type-1 domain-containing protein n=20 Tax=Bacteria TaxID=2 RepID=A0A0A7I8Y5_9BIFI",0.897,526,4.26e-166,"0","maltose transport system permease protein",NA,NA,5.46e-195,541,"G","ABC transporter permease","-"
"SpeciesTaxid_1680.NC_008618.1_1611","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1611.pdb.gz","NO","NO","A0A076JNM8","100","99.6","100","B","maltose transport system permease protein",NA,"UniRef90_A1A3R2 Permease of ABC transporter possibly for oligosaccharides n=5 Tax=Bifidobacterium TaxID=1678 RepID=A1A3R2_BIFAA",0.941,563,6.97e-179,"0","multiple sugar transport system permease protein",NA,NA,8.09e-199,551,"G","Binding-protein-dependent transport system inner membrane component","-"
"SpeciesTaxid_1680.NC_008618.1_1612","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1612.pdb.gz","NO","NO","A1A3R3","100","99.7","100","B","",NA,"UniRef90_A0A174B990 LacI family transcription regulator n=43 Tax=Bacteria TaxID=2 RepID=A0A174B990_BIFAD",0.881,610,4.25e-194,"0","LacI family transcriptional regulator, purine nucleotide synthesis repressor",NA,NA,6.39e-234,644,"K","Psort location Cytoplasmic, score","-"
"SpeciesTaxid_1680.NC_008618.1_1613","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1613.pdb.gz","NO","NO","A1A3R4","100","99.8","99.8","B","maltose transport system substrate-binding protein",NA,"UniRef90_A0A564VH34 Multiple sugar-binding protein n=104 Tax=Bacteria TaxID=2 RepID=A0A564VH34_9BIFI",0.912,859,5.44e-278,"0","maltose transport system substrate-binding protein",NA,NA,0,874,"G","Bacterial extracellular solute-binding protein","-"
"SpeciesTaxid_1680.NC_008618.1_1614","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1614.pdb.gz","NO","NO","A1A3R5","100","99.6","100","B","",NA,"UniRef90_A0A076JJP5 Histidine phosphatase n=18 Tax=Bifidobacterium TaxID=1678 RepID=A0A076JJP5_BIFAD",0.986,489,1.94e-154,"0","phosphatase [EC:3.1.3.-]",NA,NA,7.79e-172,479,"G","Phosphoglycerate mutase family","3.1.3.73"
"SpeciesTaxid_1680.NC_008618.1_1615","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1615.pdb.gz","NO","NO","R5H3Q4","100","99.2","100","C","",NA,"UniRef90_A0A0C2UKH2 DUF4235 domain-containing protein n=18 Tax=Bifidobacterium TaxID=1678 RepID=A0A0C2UKH2_BIFAD",0.909,234,4.29e-68,"0",NA,"multispecies: duf4235 domain-containing protein",NA,4.24e-76,228,"S","Protein of unknown function (DUF4235)","-"
"SpeciesTaxid_1680.NC_008618.1_1616","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1616.pdb.gz","NO","NO","A0A174DBW2","100","99.6","100","B","",NA,"UniRef90_A0A087CY31 NADPH-flavin oxidoreductase n=44 Tax=Bifidobacterium TaxID=1678 RepID=A0A087CY31_BIFRU",0.902,489,6.28e-154,"0","FMN reductase (NADPH) [EC:1.5.1.38]",NA,NA,5.2e-178,496,"C","Nitroreductase family","-"
"SpeciesTaxid_1680.NC_008618.1_1617","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1617.pdb.gz","NO","NO","A0A3D1TV59","100","98.8","100","C","",NA,"UniRef90_A0A174B0L2 Uncharacterized protein n=5 Tax=Bifidobacterium TaxID=1678 RepID=A0A174B0L2_BIFAD",1,187,1e-52,"0",NA,"multispecies: hypothetical protein",NA,2.99e-60,184,"-","-","-"
"SpeciesTaxid_1680.NC_008618.1_1618","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1618.pdb.gz","NO","NO","A0A1X3A0V1","99.2","99.6","100","B","NAD-dependent deacetylase ","2.3.1.286","UniRef90_A0A174B7A7 SIR2 family protein n=29 Tax=Bifidobacterium TaxID=1678 RepID=A0A174B7A7_BIFAD",0.974,529,6.19e-168,"0","NAD-dependent deacetylase [EC:2.3.1.286]",NA,NA,1.03e-182,508,"K","Sir2 family","-"
"SpeciesTaxid_1680.NC_008618.1_1619","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1619.pdb.gz","NO","NO","A0A1X2Z929","99.8","99.8","100","B","threonine dehydratase ","4.3.1.19","UniRef90_A0A174CHF5 Threonine ammonia-lyase n=68 Tax=Bacteria TaxID=2 RepID=A0A174CHF5_9BIFI",0.892,784,6.88e-252,"0","S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent) [EC:2.5.1.144]",NA,NA,1.11e-294,807,"E","Pyridoxal-phosphate dependent enzyme","4.3.1.19"
"SpeciesTaxid_1680.NC_008618.1_1620","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1620.pdb.gz","NO","NO","A1A3R9","100","99.8","100","B","oligo-1,6-glucosidase ","3.2.1.10","UniRef90_A0A174CHC0 Oligo-1,6-glucosidase n=115 Tax=Bacteria TaxID=2 RepID=A0A174CHC0_9BIFI",0.932,1185,0,"GH13 alpha-amylase (EC 3.2.1.1); pullulanase (EC 3.2.1.41); cyclomaltodextrin glucanotransferase (EC 2.4.1.19); cyclomaltodextrinase (EC 3.2.1.54); trehalose-6-phosphate hydrolase (EC 3.2.1.93); oligo-alpha-glucosidase (EC 3.2.1.10); maltogenic amylase (EC 3.2.1.133); neopullulanase (EC 3.2.1.135); alpha-glucosidase (EC 3.2.1.20); maltotetraose-forming alpha-amylase (EC 3.2.1.60); isoamylase (EC 3.2.1.68); glucodextranase (EC 3.2.1.70); maltohexaose-forming alpha-amylase (EC 3.2.1.98); maltotriose-forming alpha-amylase (EC 3.2.1.116); branching enzyme (EC 2.4.1.18); trehalose synthase (EC 5.4.99.16); 4-alpha-glucanotransferase (EC 2.4.1.25); maltopentaose-forming alpha-amylase (EC 3.2.1.-) ; amylosucrase (EC 2.4.1.4) ; sucrose phosphorylase (EC 2.4.1.7); malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141); isomaltulose synthase (EC 5.4.99.11); malto-oligosyltrehalose synthase (EC 5.4.99.15); amylo-alpha-1,6-glucosidase (EC 3.2.1.33); alpha-1,4-glucan: phosphate alpha-maltosyltransferase (EC 2.4.99.16); amino acid transporter; [retaining] sucrose 6(F)-phosphate phosphorylase (EC 2.4.1.329); [retaining] glucosylglycerol phosphorylase (EC 2.4.1.359); ; Glucosylglycerate phosphorylase (EC 2.4.1.352); [retaining] sucrose alpha-glucosidase (EC 3.2.1.48); oligosaccharide alpha-4-glucosyltransferase (EC 2.4.1.161); [retaining] alpha-amylase (EC 3.2.1.1)","oligo-1,6-glucosidase [EC:3.2.1.10]",NA,NA,0,1234,"G","Alpha amylase, catalytic domain protein","3.2.1.10"
"SpeciesTaxid_1680.NC_008618.1_1621","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1621.pdb.gz","NO","NO","A0A3D1TPH3","100","99.7","100","B","raffinose/stachyose/melibiose transport system permease protein",NA,"UniRef90_A0A174CLV5 Sugar ABC transporter permease n=68 Tax=Bacteria TaxID=2 RepID=A0A174CLV5_9BIFI",0.893,552,4.42e-175,"0","maltose transport system permease protein",NA,NA,1.64e-204,566,"G","Binding-protein-dependent transport system inner membrane component","-"
"SpeciesTaxid_1680.NC_008618.1_1622","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1622.pdb.gz","NO","NO","A7A6F0","100","99.7","100","B","",NA,"UniRef90_A0A076JQR4 ABC transporter permease subunit n=62 Tax=Bifidobacteriales TaxID=85004 RepID=A0A076JQR4_BIFAD",0.944,616,5.71e-197,"0","multiple sugar transport system permease protein",NA,NA,4.79e-220,607,"G","Binding-protein-dependent transport system inner membrane component","-"
"SpeciesTaxid_1680.NC_008618.1_1623","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1623.pdb.gz","NO","NO","A7A6F1","100","99.8","100","B","raffinose/stachyose/melibiose transport system substrate-binding protein",NA,"UniRef90_A0A1X3A0Q2 ABC transporter, sugar substrate-binding protein n=39 Tax=Bifidobacterium TaxID=1678 RepID=A0A1X3A0Q2_BIFAD",0.937,846,7.39e-274,"0",NA,"multispecies: abc transporter substrate-binding protein",NA,0,875,"G","Bacterial extracellular solute-binding protein","-"
"SpeciesTaxid_1680.NC_008618.1_1624","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1624.pdb.gz","NO","NO","A1A3S3","100","99.8","100","B","",NA,"UniRef90_A0A174BKE4 NagC/XylR-type transcriptional regulator n=39 Tax=Bifidobacterium TaxID=1678 RepID=A0A174BKE4_BIFAD",0.914,789,8.72e-255,"0",NA,"rok family protein",NA,1.05e-293,801,"GK","ROK family","-"
"SpeciesTaxid_1680.NC_008618.1_1625","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1625.pdb.gz","NO","NO","A1A3S4","100","99.9","100","B","alpha-galactosidase ","3.2.1.22","UniRef90_Q9XCX2 Alpha-galactosidase n=62 Tax=Bifidobacterium TaxID=1678 RepID=Q9XCX2_BIFAD",0.987,1593,0,"GH36 alpha-galactosidase (EC 3.2.1.22); alpha-N-acetylgalactosaminidase (EC 3.2.1.49); stachyose synthase (EC 2.4.1.67); raffinose synthase (EC 2.4.1.82)","alpha-galactosidase [EC:3.2.1.22]",NA,NA,0,1528,"G","Glycosyl hydrolase family 36 N-terminal domain","3.2.1.22"
"SpeciesTaxid_1680.NC_008618.1_1626","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1626.pdb.gz","NO","NO","A1A3S5","100","99.4","100","C","tRNA(adenine34) deaminase ","3.5.4.33","UniRef90_A1A3S5 tRNA-specific adenosine deaminase n=20 Tax=Bifidobacterium adolescentis TaxID=1680 RepID=A1A3S5_BIFAA",0.977,325,3.55e-99,"0","tRNA(adenine34) deaminase [EC:3.5.4.33]",NA,NA,1.53e-94,276,"FJ","Catalyzes the deamination of adenosine to inosine at the wobble position 34 of tRNA(Arg2)","3.5.4.1,3.5.4.33"
"SpeciesTaxid_1680.NC_008618.1_1627","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1627.pdb.gz","NO","NO","A0A2R4G549","100","99.9","100","B","monovalent cation/hydrogen antiporter",NA,"UniRef90_A0A076JQR6 Na /H antiporter n=63 Tax=Bifidobacterium TaxID=1678 RepID=A0A076JQR6_BIFAD",0.882,1273,0,"0","monovalent cation/hydrogen antiporter",NA,NA,0,1225,"P","Sodium/hydrogen exchanger family","-"
"SpeciesTaxid_1680.NC_008618.1_1628","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1628.pdb.gz","NO","NO","A1A3S7","100","99.6","100","B","phospholipase/carboxylesterase",NA,"UniRef90_A0A087DT81 Phospholipase/carboxylesterase n=23 Tax=Bacteria TaxID=2 RepID=A0A087DT81_BIFAD",0.987,542,3.87e-172,"0","phospholipase/carboxylesterase",NA,NA,1e-157,445,"S","Phospholipase/Carboxylesterase","-"
"SpeciesTaxid_1680.NC_008618.1_1629","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1629.pdb.gz","NO","NO","A0A174B5W3","100","99.5","100","B","dCTP deaminase ","3.5.4.13","UniRef90_A0A133KS17 dCTP deaminase, dUMP-forming n=7 Tax=Bacteria TaxID=2 RepID=A0A133KS17_BIFBI",0.965,394,2.83e-122,"0",NA,"multispecies: dctp deaminase","dcd-dut [3.5.4.30]",3.5e-141,398,"F","Belongs to the dCTP deaminase family","3.5.4.13"
"SpeciesTaxid_1680.NC_008618.1_1630","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1630.pdb.gz","NO","NO","A1A3S9","100","99.9","100","B","P-type Ca2+ transporter type 2C ","7.2.2.10","UniRef90_A0A174BK91 Calcium-transporting ATPase n=78 Tax=Bifidobacterium TaxID=1678 RepID=A0A174BK91_BIFAD",0.863,1835,0,"0","P-type Ca2+ transporter type 2C [EC:7.2.2.10]",NA,NA,0,1838,"P","Cation transporter/ATPase, N-terminus","3.6.3.8"
